2	konejsive-signaly-v-praxi-sandard-varianta	Standard	6500	f	f	t	správné interpretaci konejšivých signálů v celkovém kontextu\r\nschopnosti vyhodnotit závažnost situace a umět ji správně řešit\r\nschopnosti správně reagovat na konejšivé signály v běžném soužití i v tréninku reaktivních a bázlivých psů	Vede ke:	Samostudium • Bez certifikátu
1	konejsive-signaly-v-praxi-premium-varianta	Premium	12500	t	t	t	5× online setkání (Zoom / Google Meet) – rozbor videí a konzultace úkolů\r\npodpůrná FB skupina\r\nmalé pracovní skupiny\r\nzískání certifikátu po úspěšném vypracování všech úkolů	Varianta Standard je rozšířena o:	Individuální konzultace • Certifikát o absolvování
\.


